file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/JsonDataActivity.java,com.bigkoo.pickerviewdemo.JsonDataActivity$Anonymous1,handleMessage/1[com.bigkoo.pickerviewdemo.Message],msg,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setTitleColor/1[int],textColorTitle,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setItemVisibleCount/1[int],count,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setCancelText/1[java.lang.String],textContentCancel,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setTitleBgColor/1[int],bgColorTitle,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setTitleSize/1[int],textSizeTitle,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setCancelColor/1[int],textColorCancel,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setBackgroundId/1[int],backgroundId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setSelectOptions/1[int],option1,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setLineSpacingMultiplier/1[float],lineSpacingMultiplier,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"setCyclic/3[boolean,boolean,boolean]",cyclic2,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"setCyclic/3[boolean,boolean,boolean]",cyclic1,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"setCyclic/3[boolean,boolean,boolean]",cyclic3,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setTypeface/1[com.bigkoo.pickerview.builder.Typeface],font,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,isRestoreItem/1[boolean],isRestoreItem,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,isAlphaGradient/1[boolean],isAlphaGradient,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setSubmitText/1[java.lang.String],textContentConfirm,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setContentTextSize/1[int],textSizeContent,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setBgColor/1[int],bgColorWheel,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"setSelectOptions/2[int,int]",option1,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"setSelectOptions/2[int,int]",option2,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"setLayoutRes/2[int,com.bigkoo.pickerview.listener.CustomListener]",res,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"setLayoutRes/2[int,com.bigkoo.pickerview.listener.CustomListener]",listener,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"setTextXOffset/3[int,int,int]",xoffset_three,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"setTextXOffset/3[int,int,int]",xoffset_two,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"setTextXOffset/3[int,int,int]",xoffset_one,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setDecorView/1[com.bigkoo.pickerview.builder.ViewGroup],decorView,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setDividerType/1[com.contrarywind.view.WheelView.DividerType],dividerType,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,addOnCancelClickListener/1[View.OnClickListener],cancelListener,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setOutSideCancelable/1[boolean],cancelable,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,isDialog/1[boolean],isDialog,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setSubmitColor/1[int],textColorConfirm,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setOptionsSelectChangeListener/1[com.bigkoo.pickerview.listener.OnOptionsSelectChangeListener],listener,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setTitleText/1[java.lang.String],textContentTitle,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setSubCalSize/1[int],textSizeSubmitCancel,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"setLabels/3[java.lang.String,java.lang.String,java.lang.String]",label1,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"setLabels/3[java.lang.String,java.lang.String,java.lang.String]",label2,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"setLabels/3[java.lang.String,java.lang.String,java.lang.String]",label3,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setDividerColor/1[int],dividerColor,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"setSelectOptions/3[int,int,int]",option3,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"setSelectOptions/3[int,int,int]",option1,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"setSelectOptions/3[int,int,int]",option2,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"OptionsPickerBuilder/2[com.bigkoo.pickerview.builder.Context,com.bigkoo.pickerview.listener.OnOptionsSelectListener]",context,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,"OptionsPickerBuilder/2[com.bigkoo.pickerview.builder.Context,com.bigkoo.pickerview.listener.OnOptionsSelectListener]",listener,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setTextColorOut/1[int],textColorOut,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setOutSideColor/1[int],outSideColor,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setTextColorCenter/1[int],textColorCenter,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/builder/OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,isCenterLabel/1[boolean],isCenterLabel,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/TestFragment.java,com.bigkoo.pickerviewdemo.TestFragment$Anonymous2$Anonymous3,onClick/1[com.bigkoo.pickerviewdemo.View],v,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/JsonDataActivity.java,com.bigkoo.pickerviewdemo.JsonDataActivity$Anonymous3,"onOptionsSelect/4[int,int,int,com.bigkoo.pickerviewdemo.View]",tx,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/JsonDataActivity.java,com.bigkoo.pickerviewdemo.JsonDataActivity$Anonymous3,"onOptionsSelect/4[int,int,int,com.bigkoo.pickerviewdemo.View]",v,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/JsonDataActivity.java,com.bigkoo.pickerviewdemo.JsonDataActivity$Anonymous3,"onOptionsSelect/4[int,int,int,com.bigkoo.pickerviewdemo.View]",options1,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/JsonDataActivity.java,com.bigkoo.pickerviewdemo.JsonDataActivity$Anonymous3,"onOptionsSelect/4[int,int,int,com.bigkoo.pickerviewdemo.View]",opt2tx,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/JsonDataActivity.java,com.bigkoo.pickerviewdemo.JsonDataActivity$Anonymous3,"onOptionsSelect/4[int,int,int,com.bigkoo.pickerviewdemo.View]",opt1tx,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/JsonDataActivity.java,com.bigkoo.pickerviewdemo.JsonDataActivity$Anonymous3,"onOptionsSelect/4[int,int,int,com.bigkoo.pickerviewdemo.View]",opt3tx,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/JsonDataActivity.java,com.bigkoo.pickerviewdemo.JsonDataActivity$Anonymous3,"onOptionsSelect/4[int,int,int,com.bigkoo.pickerviewdemo.View]",options2,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/JsonDataActivity.java,com.bigkoo.pickerviewdemo.JsonDataActivity$Anonymous3,"onOptionsSelect/4[int,int,int,com.bigkoo.pickerviewdemo.View]",options3,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/TestFragment.java,com.bigkoo.pickerviewdemo.TestFragment$Anonymous2$Anonymous4,onClick/1[com.bigkoo.pickerviewdemo.View],v,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/MainActivity.java,com.bigkoo.pickerviewdemo.MainActivity$Anonymous2$Anonymous4,onClick/1[com.bigkoo.pickerviewdemo.View],v,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/MainActivity.java,com.bigkoo.pickerviewdemo.MainActivity$Anonymous2$Anonymous5,"onCheckedChanged/2[com.bigkoo.pickerviewdemo.CompoundButton,boolean]",buttonView,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/MainActivity.java,com.bigkoo.pickerviewdemo.MainActivity$Anonymous2$Anonymous5,"onCheckedChanged/2[com.bigkoo.pickerviewdemo.CompoundButton,boolean]",isChecked,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/MainActivity.java,com.bigkoo.pickerviewdemo.MainActivity$Anonymous2$Anonymous3,onClick/1[com.bigkoo.pickerviewdemo.View],v,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/bean/JsonBean.java,com.bigkoo.pickerviewdemo.bean.JsonBean$CityBean,setName/1[java.lang.String],name,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/bean/JsonBean.java,com.bigkoo.pickerviewdemo.bean.JsonBean$CityBean,setArea/1[java.util.List<java.lang.String>],area,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/configure/PickerOptions.java,com.bigkoo.pickerview.configure.PickerOptions,PickerOptions/1[int],buildType,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/wheelview/src/main/java/com/contrarywind/timer/SmoothScrollTimerTask.java,com.contrarywind.timer.SmoothScrollTimerTask,"SmoothScrollTimerTask/2[com.contrarywind.view.WheelView,int]",wheelView,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/wheelview/src/main/java/com/contrarywind/timer/SmoothScrollTimerTask.java,com.contrarywind.timer.SmoothScrollTimerTask,"SmoothScrollTimerTask/2[com.contrarywind.view.WheelView,int]",offset,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/wheelview/src/main/java/com/contrarywind/timer/SmoothScrollTimerTask.java,com.contrarywind.timer.SmoothScrollTimerTask,run/0,top,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/wheelview/src/main/java/com/contrarywind/timer/SmoothScrollTimerTask.java,com.contrarywind.timer.SmoothScrollTimerTask,run/0,bottom,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/wheelview/src/main/java/com/contrarywind/timer/SmoothScrollTimerTask.java,com.contrarywind.timer.SmoothScrollTimerTask,run/0,itemHeight,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/adapter/NumericWheelAdapter.java,com.bigkoo.pickerview.adapter.NumericWheelAdapter,getItem/1[int],index,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/adapter/NumericWheelAdapter.java,com.bigkoo.pickerview.adapter.NumericWheelAdapter,getItem/1[int],value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/adapter/NumericWheelAdapter.java,com.bigkoo.pickerview.adapter.NumericWheelAdapter,"NumericWheelAdapter/2[int,int]",minValue,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/adapter/NumericWheelAdapter.java,com.bigkoo.pickerview.adapter.NumericWheelAdapter,"NumericWheelAdapter/2[int,int]",maxValue,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/adapter/NumericWheelAdapter.java,com.bigkoo.pickerview.adapter.NumericWheelAdapter,indexOf/1[java.lang.Object],e,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/adapter/NumericWheelAdapter.java,com.bigkoo.pickerview.adapter.NumericWheelAdapter,indexOf/1[java.lang.Object],o,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/MainActivity.java,com.bigkoo.pickerviewdemo.MainActivity$Anonymous16,customLayout/1[com.bigkoo.pickerviewdemo.View],tvSubmit,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/MainActivity.java,com.bigkoo.pickerviewdemo.MainActivity$Anonymous16,customLayout/1[com.bigkoo.pickerviewdemo.View],v,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/MainActivity.java,com.bigkoo.pickerviewdemo.MainActivity$Anonymous16,customLayout/1[com.bigkoo.pickerviewdemo.View],tvAdd,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/MainActivity.java,com.bigkoo.pickerviewdemo.MainActivity$Anonymous16,customLayout/1[com.bigkoo.pickerviewdemo.View],ivCancel,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/FragmentTestActivity.java,com.bigkoo.pickerviewdemo.FragmentTestActivity,onCreate/1[com.bigkoo.pickerviewdemo.Bundle],savedInstanceState,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/app/src/main/java/com/bigkoo/pickerviewdemo/FragmentTestActivity.java,com.bigkoo.pickerviewdemo.FragmentTestActivity,onCreate/1[com.bigkoo.pickerviewdemo.Bundle],fragmentTransaction,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,setAlphaGradient/1[boolean],isAlphaGradient,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,setView/1[com.bigkoo.pickerview.view.View],view,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,setTextColorCenter/1[int],textColorCenter,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,setTypeface/1[com.bigkoo.pickerview.view.Typeface],font,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,"setLabels/3[java.lang.String,java.lang.String,java.lang.String]",label1,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,"setLabels/3[java.lang.String,java.lang.String,java.lang.String]",label2,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,"setLabels/3[java.lang.String,java.lang.String,java.lang.String]",label3,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,setLineSpacingMultiplier/1[float],lineSpacingMultiplier,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,"setCurrentItems/3[int,int,int]",option3,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,"setCurrentItems/3[int,int,int]",option1,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,"setCurrentItems/3[int,int,int]",option2,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,setLinkage/1[boolean],linkage,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,"WheelOptions/2[com.bigkoo.pickerview.view.View,boolean]",view,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,"WheelOptions/2[com.bigkoo.pickerview.view.View,boolean]",isRestoreItem,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,isCenterLabel/1[boolean],isCenterLabel,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,setTextContentSize/1[int],textSize,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,"setPicker/3[java.util.List<T>,java.util.List<java.util.List<T>>,java.util.List<java.util.List<java.util.List<T>>>]",options2Items,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,"setPicker/3[java.util.List<T>,java.util.List<java.util.List<T>>,java.util.List<java.util.List<java.util.List<T>>>]",options1Items,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,"setPicker/3[java.util.List<T>,java.util.List<java.util.List<T>>,java.util.List<java.util.List<java.util.List<T>>>]",options3Items,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,"itemSelected/3[int,int,int]",opt2Select,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,"itemSelected/3[int,int,int]",opt1Select,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-PickerView/pickerview/src/main/java/com/bigkoo/pickerview/view/WheelOptions.java,com.bigkoo.pickerview.view.WheelOptions,"itemSelected/3[int,int,int]",opt3Select,1
