file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-start/src/main/java/ai/chat2db/server/start/config/config/Chat2dbWebMvcConfigurer.java,ai.chat2db.server.start.config.config.Chat2dbWebMvcConfigurer,addInterceptors/1[ai.chat2db.server.start.config.config.InterceptorRegistry],FRONT_PERMIT_ALL,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/rdb/doc/merge/MyMergeExcel.java,ai.chat2db.server.web.api.controller.rdb.doc.merge.MyMergeExcel,"merge/4[ai.chat2db.server.web.api.controller.rdb.doc.merge.Sheet,ai.chat2db.server.web.api.controller.rdb.doc.merge.Cell,ai.chat2db.server.web.api.controller.rdb.doc.merge.Head,java.lang.Integer]",NAME,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,"queryTableDdlByEs/2[java.lang.String,ai.chat2db.server.web.api.controller.ai.EsTableSchemaRequest]",tableService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,"saveTableEmbedding/2[java.lang.String,ai.chat2db.server.web.api.controller.ai.TableSchemaRequest]",gatewayClientService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,syncTableEs/1[ai.chat2db.server.web.api.controller.ai.TableBriefQueryRequest],rdbWebConverter,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,es/1[ai.chat2db.server.web.api.controller.ai.EsTableSchemaRequest],tableService,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,es/1[ai.chat2db.server.web.api.controller.ai.EsTableSchemaRequest],rdbWebConverter,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,saveTableEs/1[ai.chat2db.server.web.api.controller.ai.EsTableSchemaRequest],gatewayClientService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,checkInWhite/1[ai.chat2db.server.web.api.controller.ai.WhiteListRequest],gatewayClientService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,"queryTableDdl/2[java.lang.String,ai.chat2db.server.web.api.controller.ai.TableBriefQueryRequest]",tableService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,embeddings/1[ai.chat2db.server.web.api.controller.ai.TableMilvusQueryRequest],tableService,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,embeddings/1[ai.chat2db.server.web.api.controller.ai.TableMilvusQueryRequest],rdbWebConverter,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,syncTableVector/1[ai.chat2db.server.web.api.controller.ai.TableBriefQueryRequest],tableService,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,syncTableVector/1[ai.chat2db.server.web.api.controller.ai.TableBriefQueryRequest],gatewayClientService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,syncTableVector/1[ai.chat2db.server.web.api.controller.ai.TableBriefQueryRequest],rdbWebConverter,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-plugins/chat2db-dm/src/main/java/ai/chat2db/plugin/dm/type/DMDefaultValueEnum.java,ai.chat2db.plugin.dm.type.DMDefaultValueEnum,getDefaultValue/0,defaultValue,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-plugins/chat2db-dm/src/main/java/ai/chat2db/plugin/dm/type/DMDefaultValueEnum.java,ai.chat2db.plugin.dm.type.DMDefaultValueEnum,DMDefaultValueEnum/1[java.lang.String],defaultValue,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,get/0,value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,IntegerWrapper/1[int],value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,addAndGet/1[int],value,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,set/1[int],value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,getAndAdd/1[int],value,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,add/1[int],value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/interceptor/Chat2dbHeaderAuthorizationInterceptor.java,ai.chat2db.server.web.api.controller.ai.chat2db.interceptor.Chat2dbHeaderAuthorizationInterceptor,"Chat2dbHeaderAuthorizationInterceptor/2[java.lang.String,java.lang.String]",apiKey,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/interceptor/Chat2dbHeaderAuthorizationInterceptor.java,ai.chat2db.server.web.api.controller.ai.chat2db.interceptor.Chat2dbHeaderAuthorizationInterceptor,"Chat2dbHeaderAuthorizationInterceptor/2[java.lang.String,java.lang.String]",model,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/interceptor/Chat2dbHeaderAuthorizationInterceptor.java,ai.chat2db.server.web.api.controller.ai.chat2db.interceptor.Chat2dbHeaderAuthorizationInterceptor,intercept/1[ai.chat2db.server.web.api.controller.ai.chat2db.interceptor.Chain],apiKey,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/interceptor/Chat2dbHeaderAuthorizationInterceptor.java,ai.chat2db.server.web.api.controller.ai.chat2db.interceptor.Chat2dbHeaderAuthorizationInterceptor,intercept/1[ai.chat2db.server.web.api.controller.ai.chat2db.interceptor.Chain],model,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/client/Chat2DBAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient,Chat2DBAIStreamClient/1[ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient.Builder],apiKey,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/client/Chat2DBAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient,Chat2DBAIStreamClient/1[ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient.Builder],apiHost,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/client/Chat2DBAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient,Chat2DBAIStreamClient/1[ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient.Builder],model,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/client/Chat2DBAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient,Chat2DBAIStreamClient/1[ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient.Builder],embeddingModel,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/client/Chat2DBAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient,Chat2DBAIStreamClient/1[ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient.Builder],fastChatOpenAiApi,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/client/Chat2DBAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient,Chat2DBAIStreamClient/1[ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient.Builder],okHttpClient,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/client/Chat2DBAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient,"streamCompletions/2[java.util.List<ai.chat2db.server.web.api.controller.ai.chat2db.client.Message>,ai.chat2db.server.web.api.controller.ai.chat2db.client.EventSourceListener]",apiHost,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/client/Chat2DBAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient,"streamCompletions/2[java.util.List<ai.chat2db.server.web.api.controller.ai.chat2db.client.Message>,ai.chat2db.server.web.api.controller.ai.chat2db.client.EventSourceListener]",okHttpClient,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/client/Chat2DBAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient,embeddings/1[ai.chat2db.server.web.api.controller.ai.fastchat.embeddings.FastChatEmbedding],apiHost,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/client/Chat2DBAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient,embeddings/1[ai.chat2db.server.web.api.controller.ai.fastchat.embeddings.FastChatEmbedding],okHttpClient,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/client/Chat2DBAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient,okHttpClient/0,apiKey,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/client/Chat2DBAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient,okHttpClient/0,model,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/client/Chat2DBAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient,okHttpClient/0,okHttpClient,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/chat2db/client/Chat2DBAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.chat2db.client.Chat2DBAIStreamClient,embeddings/1[java.lang.String],embeddingModel,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/pin/PinController.java,ai.chat2db.server.web.api.controller.pin.PinController,add/1[ai.chat2db.server.web.api.controller.pin.request.PinTableRequest],pinService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/pin/PinController.java,ai.chat2db.server.web.api.controller.pin.PinController,add/1[ai.chat2db.server.web.api.controller.pin.request.PinTableRequest],pinWebConverter,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/pin/PinController.java,ai.chat2db.server.web.api.controller.pin.PinController,delete/1[ai.chat2db.server.web.api.controller.pin.request.PinTableRequest],pinService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/pin/PinController.java,ai.chat2db.server.web.api.controller.pin.PinController,delete/1[ai.chat2db.server.web.api.controller.pin.request.PinTableRequest],pinWebConverter,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-plugins/chat2db-mariadb/src/main/java/ai/chat2db/plugin/mariadb/value/MariaDBValueProcessor.java,ai.chat2db.plugin.mariadb.value.MariaDBValueProcessor,convertJDBCValueByType/1[ai.chat2db.plugin.mariadb.value.JDBCDataValue],log,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-plugins/chat2db-mariadb/src/main/java/ai/chat2db/plugin/mariadb/value/MariaDBValueProcessor.java,ai.chat2db.plugin.mariadb.value.MariaDBValueProcessor,convertJDBCValueStrByType/1[ai.chat2db.plugin.mariadb.value.JDBCDataValue],log,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-plugins/chat2db-mariadb/src/main/java/ai/chat2db/plugin/mariadb/value/MariaDBValueProcessor.java,ai.chat2db.plugin.mariadb.value.MariaDBValueProcessor,convertSQLValueByType/1[ai.chat2db.spi.model.SQLDataValue],log,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/http/model/Knowledge.java,ai.chat2db.server.web.api.http.model.Knowledge,"Knowledge/3[java.lang.Long,java.lang.String,java.lang.Integer]",wordCount,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/http/model/Knowledge.java,ai.chat2db.server.web.api.http.model.Knowledge,"Knowledge/3[java.lang.Long,java.lang.String,java.lang.Integer]",id,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/http/model/Knowledge.java,ai.chat2db.server.web.api.http.model.Knowledge,"Knowledge/3[java.lang.Long,java.lang.String,java.lang.Integer]",content,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/rdb/RdbDocController.java,ai.chat2db.server.web.api.controller.rdb.RdbDocController,"export/2[ai.chat2db.server.web.api.controller.rdb.DataExportRequest,ai.chat2db.server.web.api.controller.rdb.HttpServletResponse]",tableService,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/rdb/RdbDocController.java,ai.chat2db.server.web.api.controller.rdb.RdbDocController,"export/2[ai.chat2db.server.web.api.controller.rdb.DataExportRequest,ai.chat2db.server.web.api.controller.rdb.HttpServletResponse]",rdbWebConverter,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-plugins/chat2db-mariadb/src/main/java/ai/chat2db/plugin/mariadb/value/factory/MariaDBValueProcessorFactory.java,ai.chat2db.plugin.mariadb.value.factory.MariaDBValueProcessorFactory,getValueProcessor/1[java.lang.String],PROCESSOR_MAP,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-domain/chat2db-server-domain-api/src/main/java/ai/chat2db/server/domain/api/param/datasource/DataSourcePageQueryParam.java,ai.chat2db.server.domain.api.param.datasource.DataSourcePageQueryParam$OrderCondition,OrderCondition/1[ai.chat2db.server.tools.base.wrapper.param.OrderBy],orderBy,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-base/src/main/java/ai/chat2db/server/tools/base/wrapper/request/PageQueryRequest.java,ai.chat2db.server.tools.base.wrapper.request.PageQueryRequest,PageQueryRequest/0,pageNo,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-base/src/main/java/ai/chat2db/server/tools/base/wrapper/request/PageQueryRequest.java,ai.chat2db.server.tools.base.wrapper.request.PageQueryRequest,PageQueryRequest/0,pageSize,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/openai/client/OpenAIClient.java,ai.chat2db.server.web.api.controller.ai.openai.client.OpenAIClient,refresh/0,OPENAI_HOST,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/openai/client/OpenAIClient.java,ai.chat2db.server.web.api.controller.ai.openai.client.OpenAIClient,refresh/0,OPEN_AI_STREAM_CLIENT,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/openai/client/OpenAIClient.java,ai.chat2db.server.web.api.controller.ai.openai.client.OpenAIClient,refresh/0,apiKey,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/openai/client/OpenAIClient.java,ai.chat2db.server.web.api.controller.ai.openai.client.OpenAIClient,refresh/0,PROXY_HOST,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/openai/client/OpenAIClient.java,ai.chat2db.server.web.api.controller.ai.openai.client.OpenAIClient,refresh/0,OPENAI_KEY,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/openai/client/OpenAIClient.java,ai.chat2db.server.web.api.controller.ai.openai.client.OpenAIClient,refresh/0,PROXY_PORT,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/openai/client/OpenAIClient.java,ai.chat2db.server.web.api.controller.ai.openai.client.OpenAIClient,getInstance/0,OPEN_AI_STREAM_CLIENT,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/openai/client/OpenAIClient.java,ai.chat2db.server.web.api.controller.ai.openai.client.OpenAIClient,singleton/0,OPEN_AI_STREAM_CLIENT,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/tongyi/client/TongyiChatAIClient.java,ai.chat2db.server.web.api.controller.ai.tongyi.client.TongyiChatAIClient,refresh/0,TONGYI_AI_CLIENT,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/tongyi/client/TongyiChatAIClient.java,ai.chat2db.server.web.api.controller.ai.tongyi.client.TongyiChatAIClient,refresh/0,TONGYI_API_KEY,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/tongyi/client/TongyiChatAIClient.java,ai.chat2db.server.web.api.controller.ai.tongyi.client.TongyiChatAIClient,refresh/0,TONGYI_MODEL,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/tongyi/client/TongyiChatAIClient.java,ai.chat2db.server.web.api.controller.ai.tongyi.client.TongyiChatAIClient,refresh/0,TONGYI_HOST,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/tongyi/client/TongyiChatAIClient.java,ai.chat2db.server.web.api.controller.ai.tongyi.client.TongyiChatAIClient,singleton/0,TONGYI_AI_CLIENT,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/tongyi/client/TongyiChatAIClient.java,ai.chat2db.server.web.api.controller.ai.tongyi.client.TongyiChatAIClient,getInstance/0,TONGYI_AI_CLIENT,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/wenxin/client/WenxinAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.wenxin.client.WenxinAIStreamClient,okHttpClient/0,accessToken,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/wenxin/client/WenxinAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.wenxin.client.WenxinAIStreamClient,okHttpClient/0,okHttpClient,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/wenxin/client/WenxinAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.wenxin.client.WenxinAIStreamClient,WenxinAIStreamClient/1[ai.chat2db.server.web.api.controller.ai.wenxin.client.WenxinAIStreamClient.Builder],apiHost,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/wenxin/client/WenxinAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.wenxin.client.WenxinAIStreamClient,WenxinAIStreamClient/1[ai.chat2db.server.web.api.controller.ai.wenxin.client.WenxinAIStreamClient.Builder],model,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/wenxin/client/WenxinAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.wenxin.client.WenxinAIStreamClient,WenxinAIStreamClient/1[ai.chat2db.server.web.api.controller.ai.wenxin.client.WenxinAIStreamClient.Builder],accessToken,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/ai/wenxin/client/WenxinAIStreamClient.java,ai.chat2db.server.web.api.controller.ai.wenxin.client.WenxinAIStreamClient,WenxinAIStreamClient/1[ai.chat2db.server.web.api.controller.ai.wenxin.client.WenxinAIStreamClient.Builder],embeddingModel,1
